LOCAL,INSCRIÇÃO,HIDROMETRO
UNB CENTRO OLÍMPICO LIG - 1,4813243,E03N000826
UNB COMPLEXO DAS ARTES,4790022,E02N000825
UNB CRAD PROX GEOCRONOLO,5646405,Y08B988039
UNB CRECHE PIGI,5407427,A08f442471
UNB DAS MANGABEIRAS PLANALTO Q 7 L 9 ALTO PARAISO DE GOIAIS (EMPRESA SANEAGRO),086.65.02,Y11F518077
UNB DEPARTAMENTO DE MÚSICA SG-2 HID.01,4762436,E04N000167
UNB DEPARTAMENTO DE MÚSICA SG-4   1,4789962,E0N000296
UNB ENGENHARIA ELETRICA SG 11 LIG 2,4758447,E02N000752
UNB ENTR FACUL MED/BIO (BSA SUL),6366988,E11S001243
UNB FACE,6682481,A11C050322
UNB FACULDADE DE EDUCAÇÃO FE 1 LIG 2,4758382,E78T000568
UNB FACULDADE DE EDUCAÇÃO FE 3 LIG 2,4758404,E78T000003
UNB FACULDADE DE EDUCAÇÃO FÍSICA,4813383,E03N000850
UNB FACULDADE DE MEDICINA CIÊNCIAS  SAÚDE,4789873,E03N001125
UNB GEOGRONOLOGIA,4973518,A03N236107
UNB INST DE CIENCIAS SOCIAIS,6699502,A10X058681
UNB INST.CENTRAL DE CIÊNCIAS ICC-I,85278,H90T000007
UNB INSTITUTO DE ARTES 1,4789989,E04000153
UNB LAB. ANEXO FARMA,4973526,AO3N647497
UNB LAB. ENG. CIVIL SG 12 - 1,4762381,E03N001175
UNB LAB. ENG. MECÂNICA SG 9 LIG 2,4758463,E81L000311
UNB MASC CENTRO LIG B,6641849,Y11X149137
UNB MASC CENTRO LIG C,6641865,Y11X149138
UNB MASC CENTRO LIG D,6641873,Y11X149140
UNB MASC NORTE LIG B,6640591,Y11X149141
UNB MASC NORTE LIG C,6640648,Y11X49142
UNB MASC NORTE LIG D,6640656,Y11X149143
UNB MASC SUL LIG B,6662188,A10X058366
UNB MASC SUL LIG C,6662201,A10X058375
UNB MASC SUL LIG D,6662196,A10X058373
UNB MEMORIAL DARCY RIBEIRO AO LADO ICC II,6442961,A10S228706
UNB MULTIUSO II LIGAÇÃO 01,4790171,E04N000191
UNB NUCLEO DE MEDICINA TROPICAL 01,4790219,E04N000065
UNB OCA 01 PIJ OCA 01,4790154,A03N001198
UNB PANCP HOSP VETERINÁRIO BIOT.  01,4767861,E02N001959
UNB PAVILHÃO ANÍSIO TEIXEIRA,4789881,E03N001240
UNB POSTO DA PM - PMDF,4803434,A06A040136
UNB QUIOSQUE LANCHONETE ICC,4841697,A06A080133
UNB RESTAURANTE UNVERSITÁRIO - RU,85316,F01N000663
UNB SCLN 406 BL A SS48,198188,A10X057795
UNB SCLN 406 BL. A SS 84,198315,A08S418109
UNB SISMOLÓGICO 02 SIS LIGAÇÃO 2,4758481,E81L000157
UNB ST SUL/AUTOTRAC,2481278,A18N483177
UNB T 6111 AUDITÓRIO DE MÚSICA SG-8-1,4762411,E03N000840
UNB TARTARUGA LANCHES LANCHONETE,4790006,A06A039844
UNB TARTARUGA LANCHES LANCHONETE,4790007,A06A039844
UNB TRAILLER FACULD. EDUC. 3 ESTACIONA.,4789849,A06A041626
UNB TRAILLER QUIOSQUE ICC,4767888,A06A041636
UNB – CDT,4973542,C06N002635
UNB – CIC,6708481,A09X278361
UNB – EST,6712967,A09X273736
UNB- SGP,4803451,A06A040130
UNB-TREILER LANCHONETE GAREM,4841689,A06A080128
UNBSQN 212 BL D AP 108,5054257,A06S772561
UNIVERSIDADE DE BRASÍLIA SGAN 605 LT H,4449983,E04N000148
UNIVERSIDADE DE BRASÍLIA UNB FUBRA,4594177,G90T000024
