id,name,registration_number,hidrometer_number,created_at,updated_at,owner_id
572,UNB CENT DE EXCELENCIA EM TURISMO LIG 01,4790197,E04N000176,2025-01-21 21:17:55.541458,2025-01-21 21:17:55.541476,1
573,UNB CENTRO COMUNITÁRIO CCAB - 01,4789954,C03N000425,2025-01-21 21:17:55.547239,2025-01-21 21:17:55.547264,1
574,UNB CENTRO DE CONVIVÊNCIA NEGRA,4803396,A06A040132,2025-01-21 21:17:55.552992,2025-01-21 21:17:55.553019,1
575,UNB CENTRO FORMAÇÃO REC.,4788061,E04N000017,2025-01-21 21:17:55.559158,2025-01-21 21:17:55.559185,1
576,UNB CENTRO OLÍMPICO LIG - 1,4813243,E03N000826,2025-01-21 21:17:55.566688,2025-01-21 21:17:55.566714,1
577,UNB COMPLEXO DAS ARTES,4790022,E02N000825,2025-01-21 21:17:55.572763,2025-01-21 21:17:55.572790,1
578,UNB CRAD PROX GEOCRONOLO,5646405,Y08B988039,2025-01-21 21:17:55.578499,2025-01-21 21:17:55.578520,1
579,UNB CRECHE PIGI,5407427,A08f442471,2025-01-21 21:17:55.584832,2025-01-21 21:17:55.584858,1
580,UNB DEPARTAMENTO DE MÚSICA SG-2 HID.01,4762436,E04N000167,2025-01-21 21:17:55.591191,2025-01-21 21:17:55.591206,1
581,UNB DEPARTAMENTO DE MÚSICA SG-4   1,4789962,E0N000296,2025-01-21 21:17:55.596954,2025-01-21 21:17:55.596975,1
582,UNB ENGENHARIA ELETRICA SG 11 LIG 2,4758447,E02N000752,2025-01-21 21:17:55.603986,2025-01-21 21:17:55.604014,1
583,UNB ENTR FACUL MED/BIO (BSA SUL),6366988,E11S001243,2025-01-21 21:17:55.609921,2025-01-21 21:17:55.609941,1
584,UNB FACE,6682481,A11C050322,2025-01-21 21:17:55.615562,2025-01-21 21:17:55.615587,1
585,UNB FACULDADE DE EDUCAÇÃO FE 1 LIG 2,4758382,E78T000568,2025-01-21 21:17:55.621368,2025-01-21 21:17:55.621397,1
586,UNB FACULDADE DE EDUCAÇÃO FE 3 LIG 2,4758404,E78T000003,2025-01-21 21:17:55.628250,2025-01-21 21:17:55.628277,1
587,UNB FACULDADE DE EDUCAÇÃO FÍSICA,4813383,E03N000850,2025-01-21 21:17:55.633862,2025-01-21 21:17:55.633892,1
588,UNB FACULDADE DE MEDICINA CIÊNCIAS  SAÚDE,4789873,E03N001125,2025-01-21 21:17:55.639555,2025-01-21 21:17:55.639571,1
589,UNB GEOGRONOLOGIA,4973518,A03N236107,2025-01-21 21:17:55.645125,2025-01-21 21:17:55.645143,1
590,UNB INST DE CIENCIAS SOCIAIS,6699502,A10X058681,2025-01-21 21:17:55.652165,2025-01-21 21:17:55.652190,1
591,UNB INST.CENTRAL DE CIÊNCIAS ICC-I,85278,H90T000007,2025-01-21 21:17:55.658111,2025-01-21 21:17:55.658140,1
592,UNB INSTITUTO DE ARTES 1,4789989,E04000153,2025-01-21 21:17:55.663825,2025-01-21 21:17:55.663845,1
593,UNB LAB. ANEXO FARMA,4973526,AO3N647497,2025-01-21 21:17:55.670517,2025-01-21 21:17:55.670576,1
594,UNB LAB. ENG. CIVIL SG 12 - 1,4762381,E03N001175,2025-01-21 21:17:55.678687,2025-01-21 21:17:55.678731,1
595,UNB LAB. ENG. MECÂNICA SG 9 LIG 2,4758463,E81L000311,2025-01-21 21:17:55.686220,2025-01-21 21:17:55.686272,1
596,UNB MASC CENTRO LIG B,6641849,Y11X149137,2025-01-21 21:17:55.692711,2025-01-21 21:17:55.692735,1
597,UNB MASC CENTRO LIG C,6641865,Y11X149138,2025-01-21 21:17:55.698803,2025-01-21 21:17:55.698825,1
598,UNB MASC CENTRO LIG D,6641873,Y11X149140,2025-01-21 21:17:55.706644,2025-01-21 21:17:55.706683,1
599,UNB MASC NORTE LIG B,6640591,Y11X149141,2025-01-21 21:17:55.713802,2025-01-21 21:17:55.713867,1
600,UNB MASC NORTE LIG C,6640648,Y11X49142,2025-01-21 21:17:55.721394,2025-01-21 21:17:55.721449,1
601,UNB MASC NORTE LIG D,6640656,Y11X149143,2025-01-21 21:17:55.728667,2025-01-21 21:17:55.728688,1
602,UNB MASC SUL LIG B,6662188,A10X058366,2025-01-21 21:17:55.737073,2025-01-21 21:17:55.737123,1
603,UNB MASC SUL LIG C,6662201,A10X058375,2025-01-21 21:17:55.744442,2025-01-21 21:17:55.744488,1
604,UNB MASC SUL LIG D,6662196,A10X058373,2025-01-21 21:17:55.751077,2025-01-21 21:17:55.751108,1
605,UNB MEMORIAL DARCY RIBEIRO AO LADO ICC II,6442961,A10S228706,2025-01-21 21:17:55.756982,2025-01-21 21:17:55.757012,1
606,UNB MULTIUSO II LIGAÇÃO 01,4790171,E04N000191,2025-01-21 21:17:55.764400,2025-01-21 21:17:55.764420,1
607,UNB NUCLEO DE MEDICINA TROPICAL 01,4790219,E04N000065,2025-01-21 21:17:55.770742,2025-01-21 21:17:55.770761,1
